2022-05-05 19:14:24.204 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：世卫组织：全球累计新冠确诊病例达511965711例 共检索到 60条 有效request
2022-05-05 19:14:24.205 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 世卫组织：全球累计新冠确诊病例达511965711例
2022-05-05 19:14:25.191 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：阿曼国防事务副首相谢哈卜亲王与魏凤和举行会谈 共检索到 30条 有效request
2022-05-05 19:14:25.192 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 阿曼国防事务副首相谢哈卜亲王与魏凤和举行会谈
2022-05-05 19:14:25.746 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：“创新是推动中国经济发展的重要力量” 共检索到 10条 有效request
2022-05-05 19:14:25.747 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 “创新是推动中国经济发展的重要力量”
2022-05-05 19:14:26.694 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：美《外交事务》杂志刊文称美遏制中国无法获得广泛支持 共检索到 70条 有效request
2022-05-05 19:14:26.695 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 美《外交事务》杂志刊文称美遏制中国无法获得广泛支持
2022-05-05 19:14:27.135 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：世卫组织：全球累计新冠确诊病例达512607587例 共检索到 60条 有效request
2022-05-05 19:14:27.136 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 世卫组织：全球累计新冠确诊病例达512607587例
2022-05-05 19:14:28.959 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 19:14:31.160 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：“北约是所有这些冲突的根源和癌细胞” 共检索到 0条 有效request
2022-05-05 19:14:31.160 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 “北约是所有这些冲突的根源和癌细胞”
2022-05-05 19:14:31.439 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：世卫组织：全球累计新冠确诊病例达509531232例 共检索到 60条 有效request
2022-05-05 19:14:31.439 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 世卫组织：全球累计新冠确诊病例达509531232例
2022-05-05 19:14:31.489 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：国防科技大学举办第十九届空天科技文化节 共检索到 40条 有效request
2022-05-05 19:14:31.490 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 国防科技大学举办第十九届空天科技文化节
2022-05-05 19:14:34.036 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：外交学会成功举办美国会参众两院代表团首次访华50周年纪… 共检索到 80条 有效request
2022-05-05 19:14:34.037 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 外交学会成功举办美国会参众两院代表团首次访华50周年纪…
2022-05-05 19:14:34.933 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：日本央行维持超宽松货币政策 共检索到 100条 有效request
2022-05-05 19:14:34.934 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 日本央行维持超宽松货币政策
2022-05-05 19:14:37.607 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：应急管理部部署开展危险化学品重大危险源企业2022年第一次安全专项检查督导 共检索到 28条 有效request
2022-05-05 19:14:37.608 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 应急管理部部署开展危险化学品重大危险源企业2022年第一次安全专项检查督导
2022-05-05 19:14:38.686 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：重拳打击制售侵权假冒冬奥会吉祥物行为 共检索到 76条 有效request
2022-05-05 19:14:38.687 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 重拳打击制售侵权假冒冬奥会吉祥物行为
2022-05-05 19:14:38.959 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 19:14:39.126 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：广东启动退役军人网络招聘活动 共检索到 79条 有效request
2022-05-05 19:14:39.126 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 广东启动退役军人网络招聘活动
2022-05-05 19:14:39.195 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：确保算法应用向上向善（金台锐评） 共检索到 30条 有效request
2022-05-05 19:14:39.195 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 确保算法应用向上向善（金台锐评）
