2022-05-12 16:45:28.419 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：王毅同巴基斯坦外长比拉瓦尔举行视频会晤 共检索到 50条 有效request
2022-05-12 16:45:28.425 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:28.434 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 王毅同巴基斯坦外长比拉瓦尔举行视频会晤
2022-05-12 16:45:28.792 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 218条 有效request
2022-05-12 16:45:28.820 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:28.963 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 218条 有效request
2022-05-12 16:45:28.979 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:29.031 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 218条 有效request
2022-05-12 16:45:29.038 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 218条 有效request
2022-05-12 16:45:29.050 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:29.051 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:29.465 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 头条  关键词：英国新型护卫舰首舰举行龙骨铺设仪式 共检索到 9条 有效request
2022-05-12 16:45:29.484 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：冲刺张南高速全线通车 共检索到 27条 有效request
2022-05-12 16:45:29.495 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 英国新型护卫舰首舰举行龙骨铺设仪式
2022-05-12 16:45:29.502 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 冲刺张南高速全线通车
2022-05-12 16:45:29.576 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 104条 有效request
2022-05-12 16:45:29.591 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:30.412 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 头条  关键词：王毅：中方愿同巴方一道，坚决挫败一切破坏中巴关系的图谋 共检索到 20条 有效request
2022-05-12 16:45:30.429 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 王毅：中方愿同巴方一道，坚决挫败一切破坏中巴关系的图谋
2022-05-12 16:45:30.514 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 104条 有效request
2022-05-12 16:45:30.528 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:30.746 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：王毅同巴基斯坦外长比拉瓦尔举行视频会晤 共检索到 34条 有效request
2022-05-12 16:45:30.784 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 王毅同巴基斯坦外长比拉瓦尔举行视频会晤
2022-05-12 16:45:31.097 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：疫情防控莫松劲 逆水行舟用力撑 共检索到 50条 有效request
