2022-04-23 10:01:59.639 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 环球影城通报一游客突发状况身亡
2022-04-23 10:02:16.689 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：杭州地铁 共检索到 8条 有效request
2022-04-23 10:02:16.690 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 杭州地铁
2022-04-23 10:02:16.966 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：YPL回应辛巴旗下主播卖假货 共检索到 8条 有效request
2022-04-23 10:02:16.967 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 YPL回应辛巴旗下主播卖假货
2022-04-23 10:02:17.514 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：#读书是我终身的爱好# 共检索到 10条 有效request
2022-04-23 10:02:17.515 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 #读书是我终身的爱好#
2022-04-23 10:02:26.953 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：YPL回应辛巴旗下主播卖假货 共检索到 8条 有效request
2022-04-23 10:02:26.954 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 YPL回应辛巴旗下主播卖假货
2022-04-23 10:02:37.832 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：环球影城通报一游客突发状况身亡 共检索到 8条 有效request
2022-04-23 10:02:37.833 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 环球影城通报一游客突发状况身亡
2022-04-23 10:02:41.506 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['陕西拐卖婴儿嫌犯落网主犯不满19岁', '巨好喝酸奶合集', '吉林新增本土无症状205例', 'YPL回应辛巴旗下主播卖假货', '秦皇岛疫情', '羡慕按时发工资遭开除女子发声', '#读书是我终身的爱好#', '拱墅区启动二级响应', '张碧晨舞台落泪让人心疼', '保护我方郭艾伦', '环球影城通报一游客突发状况身亡', '清华大学的食堂有多实惠', '发条微博祝人民海军生日快乐', '郭麒麟MIC男团京剧版国色天香', '杭州地铁', '卖熟肉被罚当事人回应网友捐款', '肖飞 卧底', '刘惜君一开口港风就来了', '北京22日新增本土确诊6例', '唐山新增本土无症状140例', '英国批准5月底前用卢布结算俄天然气', '边吃饭边喝水会影响消化吗', '男子卖女友金器为游戏充值', '读过的每一本书都不会辜负你', '4月22日新增本土确诊2971例', '中核集团推出核动力宠物狗', '今天是世界读书日', '夫妻2人一狗一车戍守边疆', '赵立坚说中方在乌克兰问题上的立场光明磊落', 'EDG银龙骑士团原画细节', '北京新增病例初判未来传播风险较高', '18个关于春天的神仙文案', '杭州女孩跟刘畊宏跳操脚受伤', '上海22日新增本土死亡12例', '辛巴售卖假货瑜伽裤一晚销售额超600万', '终于知道家里的小飞虫是什么了', '快手原副总裁一审获刑七年', '每天正确饮水量牢记53535法', '烟台疫情', '长期保持阅读有多重要', '重庆一中院通报卖150碗熟肉被罚案', '祝卿好 破防', '4月22日新增确诊病例2988例', '蒲熠星上非正也不忘cue文韬', '我们为什么要读书', '上海新增本土确诊2736例无症状20634例', '日本电视台买入斛珠夫人版权', '上海将严防大礼包腐败', '博鳌声音道出了中国主张中国方案', '孕妇宫外孕出血民警紧急送医', '北京通报3个旅行团涉疫']
2022-04-23 10:02:42.791 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：羡慕按时发工资遭开除女子发声 共检索到 8条 有效request
2022-04-23 10:02:42.792 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 羡慕按时发工资遭开除女子发声
2022-04-23 10:02:47.252 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：羡慕按时发工资遭开除女子发声 共检索到 8条 有效request
2022-04-23 10:02:47.253 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 羡慕按时发工资遭开除女子发声
2022-04-23 10:02:53.998 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：杭州地铁 共检索到 8条 有效request
2022-04-23 10:02:53.999 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 杭州地铁
2022-04-23 10:03:19.421 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：YPL回应辛巴旗下主播卖假货 共检索到 8条 有效request
2022-04-23 10:03:19.422 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 YPL回应辛巴旗下主播卖假货
2022-04-23 10:03:23.970 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：#读书是我终身的爱好# 共检索到 10条 有效request
2022-04-23 10:03:23.971 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 #读书是我终身的爱好#
2022-04-23 10:03:28.639 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：天赐的声音 共检索到 12条 有效request
2022-04-23 10:03:28.640 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 天赐的声音
2022-04-23 10:03:32.154 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：#读书是我终身的爱好# 共检索到 10条 有效request
2022-04-23 10:03:32.155 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 #读书是我终身的爱好#
2022-04-23 10:03:39.426 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:151 - 微博  关键词：#读书是我终身的爱好# 共检索到 10条 有效request
2022-04-23 10:03:39.428 | INFO     | monitor.spiderManager:crawl_by_keyword:126 - 热点爬虫 微博 删除关键词 #读书是我终身的爱好#
2022-04-23 10:03:51.521 | INFO     | monitor.titleManager:persist:80 - 微博 keywords saved to spider:keyword:微博 ['陕西拐卖婴儿嫌犯落网主犯不满19岁', '巨好喝酸奶合集', '吉林新增本土无症状205例', 'YPL回应辛巴旗下主播卖假货', '秦皇岛疫情', '羡慕按时发工资遭开除女子发声', '保护我方郭艾伦', '张碧晨舞台落泪让人心疼', '拱墅区启动二级响应', '环球影城通报一游客突发状况身亡', '清华大学的食堂有多实惠', '发条微博祝人民海军生日快乐', '郭麒麟MIC男团京剧版国色天香', '杭州地铁', '卖熟肉被罚当事人回应网友捐款', '肖飞 卧底', '刘惜君一开口港风就来了', '北京22日新增本土确诊6例', '唐山新增本土无症状140例', '英国批准5月底前用卢布结算俄天然气', '边吃饭边喝水会影响消化吗', '男子卖女友金器为游戏充值', '读过的每一本书都不会辜负你', '4月22日新增本土确诊2971例', '中核集团推出核动力宠物狗', '今天是世界读书日', '夫妻2人一狗一车戍守边疆', '赵立坚说中方在乌克兰问题上的立场光明磊落', 'EDG银龙骑士团原画细节', '北京新增病例初判未来传播风险较高', '18个关于春天的神仙文案', '#读书之美#', '杭州女孩跟刘畊宏跳操脚受伤', '上海22日新增本土死亡12例', '辛巴售卖假货瑜伽裤一晚销售额超600万', '终于知道家里的小飞虫是什么了', '快手原副总裁一审获刑七年', '每天正确饮水量牢记53535法', '烟台疫情', '长期保持阅读有多重要', '重庆一中院通报卖150碗熟肉被罚案', '祝卿好 破防', '4月22日新增确诊病例2988例', '蒲熠星上非正也不忘cue文韬', '我们为什么要读书', '上海新增本土确诊2736例无症状20634例', '日本电视台买入斛珠夫人版权', '上海将严防大礼包腐败', '博鳌声音道出了中国主张中国方案', '孕妇宫外孕出血民警紧急送医', '北京通报3个旅行团涉疫']
2022-04-23 10:03:51.705 | INFO     | monitor.searchSpiders.weibo:get_request_from_keyword:41 - 唐山新增本土无症状140例检索结果为空,{"ok":-100,"url":"https://weibo.com/login.php?url=https%3A%2F%2Fweibo.com%2Fsearch%3Fcontainerid%3D100103type%253D1%2526q%253D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593%2526t%253D0%26q%3D%25E5%2585%25B1%25E5%2590%258C%25E6%259E%2584%25E5%25BB%25BA%25E5%259C%25B0%25E7%2590%2583%25E7%2594%259F%25E5%2591%25BD%25E5%2585%25B1%25E5%2590%258C%25E4%25BD%2593"}
