2022-05-06 11:02:58.855 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：村里有了村务员（人民眼·基层治理探索②） 共检索到 0条 有效request
2022-05-06 11:02:58.855 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 村里有了村务员（人民眼·基层治理探索②）
2022-05-06 11:02:58.861 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：最新动态：俄罗斯别尔哥罗德州两村庄遭乌军炮击 乌总统说… 共检索到 0条 有效request
2022-05-06 11:02:58.861 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 最新动态：俄罗斯别尔哥罗德州两村庄遭乌军炮击 乌总统说…
2022-05-06 11:02:58.867 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：美政府机构瞒报疑似“病毒溢出”事件（深度观察） 共检索到 0条 有效request
2022-05-06 11:02:58.867 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 美政府机构瞒报疑似“病毒溢出”事件（深度观察）
2022-05-06 11:02:58.873 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：增强战略自主符合欧洲利益（国际论坛） 共检索到 0条 有效request
2022-05-06 11:02:58.873 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 增强战略自主符合欧洲利益（国际论坛）
2022-05-06 11:02:58.879 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：大型设备为什么被当作废旧物资拉走了 共检索到 0条 有效request
2022-05-06 11:02:58.879 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 大型设备为什么被当作废旧物资拉走了
2022-05-06 11:02:58.885 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：上海推进全市核酸采样点布局建设 共检索到 0条 有效request
2022-05-06 11:02:58.885 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 上海推进全市核酸采样点布局建设
2022-05-06 11:02:58.891 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：空军某团跨昼夜训练提升作战本领 共检索到 0条 有效request
2022-05-06 11:02:58.891 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 空军某团跨昼夜训练提升作战本领
2022-05-06 11:02:58.897 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：立夏农事忙 共检索到 0条 有效request
2022-05-06 11:02:58.898 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 立夏农事忙
2022-05-06 11:02:58.904 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：主要产油国维持原定增产计划 共检索到 0条 有效request
2022-05-06 11:02:58.905 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 主要产油国维持原定增产计划
2022-05-06 11:02:58.915 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：土耳其“爪锁”行动意欲何为 共检索到 0条 有效request
2022-05-06 11:02:58.918 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 土耳其“爪锁”行动意欲何为
2022-05-06 11:02:58.925 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：美军加大微电子领域研发投资 共检索到 0条 有效request
2022-05-06 11:02:58.926 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 美军加大微电子领域研发投资
2022-05-06 11:02:58.935 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：陆军部队着力规范营区“两化”建设 共检索到 0条 有效request
2022-05-06 11:02:58.938 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 陆军部队着力规范营区“两化”建设
2022-05-06 11:02:58.945 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：国防科技大学举办第十九届空天科技文化节 共检索到 0条 有效request
2022-05-06 11:02:58.946 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 国防科技大学举办第十九届空天科技文化节
2022-05-06 11:02:58.954 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 人民网  关键词：让志愿精神温暖你我（民生观） 共检索到 0条 有效request
