2022-05-12 09:04:27.601 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 求是  关键词：第74集团军某旅炮兵分队开展实弹射击演练 共检索到 397条 有效request
2022-05-12 09:04:27.609 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 第74集团军某旅炮兵分队开展实弹射击演练
2022-05-12 09:04:27.887 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 求是  关键词：英欧双边贸易显著下滑 共检索到 50条 有效request
2022-05-12 09:04:27.892 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 求是 删除关键词 英欧双边贸易显著下滑
2022-05-12 09:04:27.990 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：日本国会通过经济安全保障法 共检索到 7条 有效request
2022-05-12 09:04:28.004 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 日本国会通过经济安全保障法
2022-05-12 09:04:28.013 | INFO     | monitor.projectManager:save_config:617 - 保存配置成功
2022-05-12 09:04:28.666 | INFO     | monitor.titleManager:persist:80 - 人民网 keywords saved to spider:keyword:人民网 ['外交部：贸易战、关税战没有赢家', '美国当前的做法无助于结束乌克兰危机（深度观察）', '“应急使命·2022”抗震救灾演习举行', '成语释法之明辨是“非”', '成语释法之“划”地为牢', '西部战区某保障队打造“零压力”公共疗愈空间', '勘查山坳弃渣场 寻找解纷突破口', '产教融合培养研究生 怎样才能让学校、企业“动真格”', '加快老旧小区改造开工落地', '第78集团军某旅：“伴随保障”强化战场意识', '希土矛盾加剧 北约内讧再起', '中白工业园迎来第90家入园企业', '中国以色列执政党青年政治精英创新发展论坛举行', '日本国会通过经济安全保障法', '美国累计超1300万儿童感染新冠 近期再现病例上升潮', '欧洲电动汽车市场持续扩大', '近距离安装可视门铃 可能侵犯邻居隐私权（以案说法）', '美国4月CPI同比涨幅微降但仍处于高位', '世卫组织：全球累计新冠确诊病例达516476402例', '司法亮剑  守护百姓养老钱（法治头条）', '“捍卫和平是中国维和军人的神圣使命”', '全国统一医保信息平台建成', '加大海洋环境司法保护力度 服务海洋强国建设', '辽宁省葫芦岛市在国有企业试点建设退役军人服务中心', '上海方舱：智能服务机器人多场景“上岗”', '美海军陆战队提升保障能力', '综合消息：让青春在海外焕发异彩 用智慧汗水打拼出更美好…', '欧盟欲停购俄罗斯石油\u3000难指望中东补缺', '脆弱的身体不能承受“风暴”之重', '欧盟代表访问伊朗将使伊核谈判朝正确方向迈进', '法国对非政策再遇挫折', '《南华早报》：美对华贸易战徒劳且适得其反', '乌克兰首任总统克拉夫丘克逝世', '最新动态：俄说美对乌援助旨在打对俄代理人战争 乌批准将…', '中国和联合国难民署向阿富汗发放人道主义物资', '2022年第二场金砖国家智库国际研讨会举行', '广西融安：防汛演练备汛期', '半岛电视台女记者在约旦河西岸冲突中遭枪击身亡', '抗震救灾实战化演习：新装备新技术尽显奇能', '全球连线 | 俄乌战事紧 美国军援忙', '美研究认为奥密克戎毒性与以往新冠病毒变异株一样强', '成语释法之莫上贼“传”', '入户接种，把安心送进家门', '成语释法之岂有此“理”', '春暖花开日 练兵正当时', '陆军某旅开展夜间实战化对抗演练', '珠峰大本营：同一片蓝天下的“精灵” ', '古巴酒店爆炸事故死亡人数升至43人', '成语释法之锱铢“币”较', '英国新型护卫舰首舰举行龙骨铺设仪式', '沈跃跃出席2022上海合作组织民间友好论坛开幕式并致辞', '俄说将继续履行天然气供应合同义务', '埃及安全部队打死14名恐怖分子', '中国常驻联合国副代表呼吁国际社会加大对波黑的抗疫和发展…', '云南脱贫县农村居民收入增速超全省平均水平', '喀麦隆一搭载11人飞机失联', '洛杉矶县“生活质量指数”降至新低', '我赴黎维和部队向任务区民众捐赠药品', '国际锐评｜货币政策“急转弯”的美国又向全球转嫁危机', '成语释法之自身难“保”', '湖南法院受理首例提级管辖案件', '瑞典报告9例不明病因儿童肝炎病例', '新研究：气溶胶传播新冠风险远高于接触面', '荷兰侨胞携手中荷各界人士庆祝中荷建交50周年', '菲律宾接收土耳其T-129“猫鼬”武装直升机', '海军航空兵某旅：“任务套餐”紧跟演训进程', '全球连线 | 美国丧钟悲鸣哀悼百万新冠逝者', '多哥北部发生袭击事件致8人死亡', '南部战区海军某潜艇支队强化理论武装举旗铸魂', '贵州：建成全省统一的数字政府平台', '德国4月通胀率再创新高', '华南有持续性强降雨 北方有较强冷空气活动', '“2022中国电影周”在哥斯达黎加大学举行', '海军某护卫舰支队舰艇编队开展多科目训练', '巴拿马加强海洋生态系统保护', '海军某护卫舰支队开展实战化训练', '王毅：中方愿同巴方一道，坚决挫败一切破坏中巴关系的图谋', '城乡区域协调发展按下“快进键”（新气象 新作为）', '中国第8批赴南苏丹维和步兵营高标准通过联合国装备核查', '韩拟借新潜艇强固“军备链”', '用心服务，助力乡村振兴', '俄说没有实施战时状态的计划', '在海拔5000多米说爱你，这场边防军人的求婚仪式好浪漫', '感觉不错！非洲留学生直播带货初体验', '全国防灾减灾日：记牢这些，关键时刻能自救！', '履行法定义务 共筑疫情防控屏障（金台锐评）', '王毅同巴基斯坦外长比拉瓦尔举行视频会晤', '东部战区组织兵力在台岛以东和西南海空域进行实兵演练', '新疆召开“新疆宗教信仰自由状况”视频宣介会', '河南省三门峡军分区组织观摩评比找差距补短板', '某信息通信基地创新组训模式 相隔千里同台竞技', '真相 |“谁是最大的虚假信息传播者？是美国政府”', '半世纪来第一次！美国国会将就UFO问题举行听证会', '“2022·中欧人权研讨会”推动人权领域交流与理解', '印度启动无人战车研发计划', '第71集团军某旅营造科学选人用人育人环境', '俄罗斯举行胜利日阅兵', '从特勤排到特战排：一字之变的背后', '拜登表示正讨论取消对华加征关税', '北部战区海军某旅开展科技练兵', '竞选团队宣布马科斯赢得菲律宾总统选举', '俄罗斯别尔哥罗德州一村庄遭炮击致1死6伤', '武警邯郸支队开展机关基层双向讲评', '北京新增35例本土确诊病例和11例本土无症状感染者', '尼日利亚军队遭武装分子伏击致6死1失踪', '朝鲜政府采取积极措施开展农业抗旱斗争', '冲刺张南高速全线通车', '拂晓，特战队员从天而降', '河南省信阳市借助红色资源开展城舰共建活动']
2022-05-12 09:04:28.721 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：北京4地升级为高风险地区 共检索到 7条 有效request
2022-05-12 09:04:28.725 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 北京4地升级为高风险地区
